name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
awslabs_cloudwatch-logs-subscription-consumer,0822082044,FAILURE,FAILURE,1.49,0,0,0,0
awslabs_cloudwatch-logs-subscription-consumer,0820095722,FAILURE,FAILURE,1.434,0,0,0,0
awslabs_cloudwatch-logs-subscription-consumer,0818134515,FAILURE,FAILURE,1.434,0,0,0,0
trystan_AsciiPanel,0829090641,SUCCESS,SUCCESS,2.45,0.499,28,1,0
trystan_AsciiPanel,0829191149,SUCCESS,SUCCESS,2.517,0.483,28,1,0
trystan_AsciiPanel,0830044330,SUCCESS,SUCCESS,2.572,0.535,28,1,0
happyfish100_fastdfs-client-java,0829090641,SUCCESS,SUCCESS,0.784,0,0,0,0
happyfish100_fastdfs-client-java,0829191149,SUCCESS,SUCCESS,0.779,0,0,0,0
happyfish100_fastdfs-client-java,0830044330,SUCCESS,SUCCESS,0.733,0,0,0,0
healthonnet_hon-lucene-synonyms,0822082044,SUCCESS,SUCCESS,5.934,1.1420000000000001,19,16,0
healthonnet_hon-lucene-synonyms,0820095722,SUCCESS,SUCCESS,5.843,1.1310000000000002,19,16,0
healthonnet_hon-lucene-synonyms,0818134515,SUCCESS,SUCCESS,5.872,1.173,19,16,0
UglyTroLL_Douban-Java-SDK-OAuth2,0822082044,SUCCESS,FAILURE,36.551,35.44200000000001,72,8,52
UglyTroLL_Douban-Java-SDK-OAuth2,0820095722,SUCCESS,FAILURE,33.064,31.941,72,8,52
UglyTroLL_Douban-Java-SDK-OAuth2,0818134515,SUCCESS,FAILURE,42.595,41.536,72,8,52
spring-cloud_spring-cloud-security,0829090641,SUCCESS,SUCCESS,19.253,11.58,13,5,0
spring-cloud_spring-cloud-security,0829191149,SUCCESS,SUCCESS,18.786,11.323999999999998,13,5,0
spring-cloud_spring-cloud-security,0830044330,SUCCESS,SUCCESS,18.673,11.186,13,5,0
basho_riak-java-client,0822082044,SUCCESS,SUCCESS,47.907,38.805000000000014,367,59,0
basho_riak-java-client,0820095722,SUCCESS,SUCCESS,50.089,40.714999999999996,367,59,0
basho_riak-java-client,0818134515,SUCCESS,SUCCESS,49.213,39.96899999999998,367,59,0
apache_parquet-mr,0822082044,FAILURE,FAILURE,106,77.98100000000004,716,101,0
apache_parquet-mr,0820095722,FAILURE,FAILURE,109,79.44600000000003,716,101,0
apache_parquet-mr,0818134515,FAILURE,FAILURE,106,78.30600000000004,716,101,0
prestodb_presto,0822082044,SUCCESS,FAILURE,255,2.094,131,2,0
prestodb_presto,0820095722,SUCCESS,FAILURE,259,2.195,131,2,0
prestodb_presto,0818134515,SUCCESS,FAILURE,258,2.162,131,2,0
jhunters_Jprotobuf-rpc-socket,0822082044,FAILURE,FAILURE,0.306,0,0,0,0
jhunters_Jprotobuf-rpc-socket,0820095722,FAILURE,FAILURE,0.297,0,0,0,0
jhunters_Jprotobuf-rpc-socket,0818134515,FAILURE,FAILURE,0.295,0,0,0,0
perwendel_spark,0822082044,SUCCESS,SUCCESS,31.356,5.672999999999999,285,40,0
perwendel_spark,0820095722,SUCCESS,SUCCESS,30.717,5.595,285,40,0
perwendel_spark,0818134515,SUCCESS,SUCCESS,31.144,5.645999999999999,285,40,0
